2.5093, 2.5084, 3
-8.6862, -9.6268, 1
-3.4118, 6.9496, 2
5.4925, 8.6621, 3
-6.9815, 9.8587, 2
-5.0162, -9.8352, 1
3.0773, 4.1641, 3
-5.4856, 2.0368, 2
7.6946, -7.8432, 0
3.0441, -7.1616, 0
4.3979, 7.2494, 3
-8.6322, -7.3589, 1
-1.7238, -6.7763, 1
9.7155, 4.3454, 3
-9.9335, 3.6250, 2
3.7927, -7.9287, 0
3.2760, 9.9758, 3
2.9627, 0.7587, 3
0.7376, 9.9383, 3
6.3475, -7.5898, 0
-6.3008, 2.8331, 2
-8.3347, -0.0948, 2
-2.5835, -7.4516, 1
3.4659, 4.9399, 3
3.0784, 2.5394, 3
2.0242, 8.0782, 3
0.5602, -6.4890, 0
-1.8330, -0.1141, 2
7.4449, -9.9033, 0
-5.1028, -3.5544, 1
-6.4250, -9.6186, 1
-3.4102, 8.9098, 2
6.0562, 8.1255, 3
-5.4157, -8.9492, 1
1.2241, 6.2345, 3
7.3583, 8.4962, 3
-0.6749, -9.7829, 1
-5.8467, -4.0950, 1
-9.4152, -6.1357, 1
2.6106, 2.9141, 3
9.4681, -1.3857, 0
3.2702, -3.7161, 0
-3.2951, -0.2101, 2
2.0877, 6.5395, 3
-4.5952, -2.3895, 1
4.7465, 8.3924, 3
0.4699, -4.2314, 0
-2.7100, 1.6696, 2
-8.7629, 5.4626, 2
9.2873, 0.7944, 0
